Section,Code,Main_code,Sup_code,Description
G,46.19,46,19,Деятельность агентов по оптовой торговле универсальным ассортиментом товаров                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
G,46.2 ,46,2 ,Торговля оптовая сельскохозяйственным сырьем и живыми животными                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;
G,46.21,46,21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных                                                                                                                                                                                                                                                                                                                                                                                                               ;Торговля оптовая зерном, семенами и кормами для животных                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая зерном                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая семенами, кроме семян масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая масличными семенами и маслосодержащими плодами                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Торговля оптовая кормами для сельскохозяйственных животных                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Торговля оптовая сельскохозяйственным сырьем, не включенным в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая необработанным табаком                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;"
G,46.22,46,22,Торговля оптовая цветами и растениями                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;
G,46.23,46,23,Торговля оптовая живыми животными                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
G,46.24,46,24,Торговля оптовая шкурами и кожей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
G,46.3 ,46,3 ,"Торговля оптовая пищевыми продуктами, напитками и табачными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                               ;"
G,46.31,46,31,"Торговля оптовая фруктами и овощами                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Торговля оптовая свежими овощами, фруктами и орехами                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Торговля оптовая свежим картофелем                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Торговля оптовая прочими свежими овощами                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая свежими фруктами и орехами                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Торговля оптовая консервированными овощами, фруктами и орехами                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;"
G,46.32,46,32,"Торговля оптовая мясом и мясными продуктами                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Торговля оптовая мясом и мясом птицы, включая субпродукты                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Торговля оптовая продуктами из мяса и мяса птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая консервами из мяса и мяса птицы                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"
G,46.33,46,33,"Торговля оптовая молочными продуктами, яйцами и пищевыми маслами и жирами                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Торговля оптовая молочными продуктами                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Торговля оптовая яйцами                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая пищевыми маслами и жирами                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"
G,46.34,46,34,"Торговля оптовая напитками                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Торговля оптовая соками, минеральной водой и прочими безалкогольными напитками                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Торговля оптовая алкогольными напитками, кроме пива и пищевого этилового спирта                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Торговля оптовая пищевым этиловым спиртом                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Торговля оптовая пивом                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Закупка вина в больших емкостях с последующим розливом в мелкую тару без переработки                                                                                                                                                                                                                                                                                                                                                                                                                                ;"
G,46.35,46,35,Торговля оптовая табачными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
G,46.36,46,36,"Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Торговля оптовая сахаром                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая шоколадом и сахаристыми кондитерскими изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая мучными кондитерскими изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая хлебобулочными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;"
G,46.37,46,37,"Торговля оптовая кофе, чаем, какао и пряностями                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"
G,46.38,46,38,"Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков                                                                                                                                                                                                                                                                                                                                                                                                                                ;Торговля оптовая рыбой, ракообразными и моллюсками, консервами и пресервами из рыбы и морепродуктов                                                                                                                                                                                                                                                                                                                                                                                                                 ;Торговля оптовая прочими пищевыми продуктами                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Торговля оптовая гомогенизированными пищевыми продуктами, детским и диетическим питанием                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая кормами для домашних животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Торговля оптовая мукой и макаронными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Торговля оптовая крупами                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая солью                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Торговля оптовая мороженым и замороженными десертами                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Торговля оптовая прочими пищевыми продуктами, не включенными в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"
G,46.39,46,39,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                          ;Торговля оптовая неспециализированная замороженными пищевыми продуктами                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая неспециализированная незамороженными пищевыми продуктами, напитками и табачными изделиями                                                                                                                                                                                                                                                                                                                                                                                                          ;"
G,46.4 ,46,4 ,Торговля оптовая непродовольственными потребительскими товарами                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;
G,46.41,46,41,"Торговля оптовая текстильными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая текстильными изделиями, кроме текстильных галантерейных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая галантерейными изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;"
G,46.42,46,42,"Торговля оптовая одеждой и обувью                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Торговля оптовая одеждой                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Торговля оптовая одеждой, включая спортивную, кроме нательного белья                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Торговля оптовая нательным бельем                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Торговля оптовая изделиями из меха                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Торговля оптовая аксессуарами одежды и головными уборами, кроме меховых                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая обувью                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;"
G,46.43,46,43,"Торговля оптовая бытовыми электротоварами                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Торговля оптовая электрической бытовой техникой                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Торговля оптовая радио-, теле- и видеоаппаратурой и аппаратурой для цифровых видеодисков (DVD)                                                                                                                                                                                                                                                                                                                                                                                                                      ;Торговля оптовая грампластинками, аудио- и видеомагнитными лентами, компакт-дисками (CD) и цифровыми видеодисками (DVD) (кроме носителей без записей)                                                                                                                                                                                                                                                                                                                                                               ;Торговля оптовая фототоварами и оптическими товарами                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"
G,46.44,46,44,Торговля оптовая изделиями из керамики и стекла и чистящими средствами                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Торговля оптовая изделиями из керамики и стекла                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Торговля оптовая чистящими средствами                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;
G,46.45,46,45,"Торговля оптовая парфюмерными и косметическими товарами                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Торговля оптовая парфюмерными и косметическими товарами, кроме мыла                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Торговля оптовая туалетным и хозяйственным мылом                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"
G,46.46,46,46,"Торговля оптовая фармацевтической продукцией                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Торговля оптовая фармацевтической продукцией                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Торговля оптовая изделиями, применяемыми в медицинских целях                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;"
G,46.47,46,47,"Торговля оптовая мебелью, коврами и осветительным оборудованием                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Торговля оптовая бытовой мебелью                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Торговля оптовая осветительным оборудованием                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Торговля оптовая коврами и ковровыми изделиями                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;"
